Index,precinct,medianincome,green,unemployment,burglary,felonyassault,glarceny,glmotorvehicle,murder,rape,robbery,felonyTotal
0,1,1.780387204,-0.359129514,-1.164497906,-0.424088866,-0.934031842,1.813476267,-0.978541349,-1.004290317,-0.990136226,-1.109600118,0.445635493
1,5,1.104511159,-0.426237309,-0.371677732,-1.093274571,-0.770975822,0.070001865,-1.264747544,-0.854715164,-1.07426183,-0.966672581,-0.800126834
2,6,1.657721742,-0.526513876,-0.891418244,-0.548485945,-0.874772205,1.319699595,-0.9733376,-0.961554559,-0.920031556,-0.613488008,0.223141733
3,7,-0.372331161,0.12852208,-0.171050041,-1.428970234,-0.811831845,-0.591007085,-1.03767486,-0.726507889,-0.821885017,-0.799726919,-1.221885126
4,9,0.650452166,-0.197961424,-0.531297693,-0.3812998,-0.528784262,0.547548697,-0.91373102,-0.779927587,-0.443319797,-0.553639563,-0.134250483
5,10,1.85104775,-0.651415403,-0.301002854,-1.279870189,-0.835388471,0.253074468,-1.005979298,-0.801295466,-0.840579596,-0.997778023,-0.687359496
6,13,1.653682524,-0.552422814,-0.604217333,0.519035087,-0.524735466,2.306603745,-0.770864456,-0.833347284,-0.522771757,-0.385118941,1.243284913
7,14,2.040458708,-0.624781693,-0.75381955,1.620081574,-0.239479449,5.109172629,-1.272316634,-0.70514001,-0.662981098,0.009802048,3.33653391
8,17,1.487966267,-0.656430232,-1.065745239,-0.980787851,-1.140520392,0.76619711,-1.218386871,-1.079077894,-0.952747068,-1.347812678,-0.483533587
9,18,1.319299545,-0.690651001,-0.77795567,0.093350048,-0.536881852,4.02125395,-0.927449995,-0.801295466,-0.583529138,-0.533165095,2.213928722
10,19,2.167415974,-0.595952558,-1.071628122,0.796061207,-0.887654735,2.475134411,-0.32618045,-0.886766982,-0.742433057,-0.524896559,1.3677091
11,20,1.967771769,0.073050541,-0.984264547,-1.178411579,-1.126165573,0.474968849,-1.043824745,-1.004290317,-1.041546318,-1.154092712,-0.635832847
12,22,-1.581949657,6.142186705,6.13711812,-2.215495028,-1.541719177,-1.158012798,-1.631375316,-1.17523335,-1.46217434,-1.766751793,-2.237466931
13,23,0.736148513,-0.390001205,0.478228282,-1.368095068,0.078166929,-0.647097414,-1.070789627,0,0.346526156,0.044451148,-0.840418984
14,24,1.506017882,0.420418481,-0.461098611,-1.022253544,-0.72864751,-0.037504599,-0.898119773,-0.715823949,-0.658307453,-0.359919596,-0.64250597
15,25,-0.676460558,1.767199679,1.193165824,-1.226494138,0.124544036,-0.66994903,-1.080724056,0.096155456,0.145559434,-0.168562068,-0.867871707
16,26,0.270288922,0.918046345,-1.012911722,-1.562630926,-0.926670397,-0.574907083,-1.192368126,-0.779927587,-0.737759413,-0.688692304,-1.266062893
17,28,1.056427521,-0.738477355,-0.254022549,-1.296632916,-0.22033969,-0.64644822,-1.234471186,-0.309834247,-0.368541482,-0.291015136,-1.011386095
18,30,0.36037692,0.144326148,0.366331089,-1.116213039,-0.127217403,-0.81251195,-1.108162006,-0.160259093,0.178274947,-0.16501841,-1.002854633
19,32,-0.045045512,-0.441328045,1.470166534,-0.97372986,0.660089205,-0.658133706,-0.995098732,0.886766982,0.935405387,0.205884453,-0.572733819
20,33,-0.213687072,0.828931984,0.379061296,-1.140033757,-0.233958365,-0.715911938,-0.859801257,-0.309834247,-0.02736542,-0.38748138,-0.977344718
21,34,-0.3772815,1.558431407,0.153269207,-0.084423083,-0.111022223,-0.438576421,-0.127491851,-0.256414549,0.304463353,-0.031540628,-0.353027567
22,40,-1.157588099,-0.4562846,1.163854964,-0.318660136,1.451444608,-0.242779624,-0.208859563,1.282072745,0.935405387,1.474513992,0.420210048
23,41,-1.567296449,-0.499931313,0.357339964,-0.554661686,1.155882566,-0.694228871,-0.560349155,-0.021367879,-0.09747009,-0.128794351,-0.422208428
24,42,-1.548836026,0.228686276,0.80147466,-0.326600375,0.757996431,-0.694618387,-0.28880807,0.844031224,0.781175112,0.429134903,-0.27920086
