Country,REGION,Dimension 1: Political Rights and Safety,Dimension 2: Financial and Health Protections,Dimension 3: Protection for the Most Vulnerable,Dimension 4: Conflict,Mean Vulnerability ,POPULATION,ESTIMATED PROPORTION OF POPULATION IN MODERN SLAVERY,ESTIMATED NUMBER IN MODERN SLAVERY,GOVERNMENT RESPONSE RANK,Milestone 1: Victims are supported to exit slavery (/32),Milestone 1: Victims are supported to exit slavery (%),Milestone 2: Criminal justice responses (/21),Milestone 2: Criminal justice responses (%),Milestone 3: Coordination and accountability (/14),Milestone 3: Coordination and accountability (%),Milestone 4: Addressing risk (/25),Milestone 4: Addressing risk (%),Milestone 5: Investigating supply chains (/7),Milestone 5: Investigating supply chains (%),Total score (/100),Corruption or state sanctioned forced labour score (/-2),Total score (U-V),CREDIT rating
Afghanistan,ASIA,83.0,47.39,53.31,84.55,67.06,32527000.0,1.130009,367600.0,0.0,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Albania,EUROPE,52.88,29.58,42.36,18.25,35.77,2906000.0,0.294602886007,8600.0,28.0,23.6904761905,73.7037037037,9.92063492063,46.2962962963,6.25,43.75,15.4761904762,61.9047619048,0,0,55.3373015873,-1,54.3373015873,BB
Algeria,MIDDLE EAST AND NORTH AFRICA,51.03,28.1,47.02,51.46,44.4,39667000.0,0.626048091197,248300.0,127.0,9.16666666667,28.5185185185,5.15873015873,24.0740740741,3.57142857143,25,10.7142857143,42.8571428571,0,0,28.6111111111,-1,27.6111111111,CC
Angola,SUBSAHARAN AFRICA,56.32,49.54,45.95,25.02,44.21,25022000.0,0.638396570595,159700.0,146.0,6.54761904762,20.3703703704,4.36507936508,20.3703703704,4.46428571429,31.25,7.14285714286,28.5714285714,0,0,22.5198412698,-1,21.5198412698,CC
Argentina,AMERICAS,35.63,18.5,34.04,25.36,28.38,43417000.0,0.404284594056,175500.0,12.0,15.8333333333,49.2592592593,12.8174603175,59.8148148148,12.5,87.5,19.6428571429,78.5714285714,0,0,60.7936507937,-1,59.7936507937,BB
Armenia,RUSSIA AND EURASIA,53.66,27.38,42.63,24.9,37.14,3018000.0,0.466853972426,14100.0,58.0,15.5357142857,48.3333333333,10.6746031746,49.8148148148,8.03571428571,56.25,12.5,50,0,0,46.746031746,-1,45.746031746,B
Australia,ASIA,15.14,19.85,17.45,35.49,21.98,23772000.0,0.018,4300.0,5.0,20.7142857143,64.4444444444,17.5396825397,81.8518518519,8.03571428571,56.25,17.2619047619,69.0476190476,1.78571428571,25,65.3373015873,0,65.3373015873,BBB
Austria,EUROPE,21.47,18.14,14.05,33.14,21.7,8566000.0,0.018,1500.0,11.0,18.630952381,57.962962963,12.6587301587,59.0740740741,9.82142857143,68.75,19.0476190476,76.1904761905,0,0,60.1587301587,0,60.1587301587,BBB
Azerbaijan,RUSSIA AND EURASIA,68.9,28.23,28.17,23.05,37.09,9635000.0,0.466853972426,45000.0,81.0,9.10714285714,28.3333333333,12.9365079365,60.3703703704,2.67857142857,18.75,14.2857142857,57.1428571429,0,0,39.0079365079,-1,38.0079365079,CCC
Bahrain,MIDDLE EAST AND NORTH AFRICA,54.41,33.14,41.45,31.26,40.07,1377000.0,0.466853972426,6400.0,111.0,11.7857142857,36.6666666667,7.85714285714,36.6666666667,3.57142857143,25,8.92857142857,35.7142857143,0,0,32.1428571429,-1,31.1428571429,CCC
Bangladesh,ASIA,46.78,46.04,33.63,50.02,44.12,160996000.0,0.951118661333,1531300.0,43.0,12.6785714286,39.4444444444,12.9365079365,60.3703703704,9.82142857143,68.75,14.880952381,59.5238095238,0,0,50.3174603175,-1,49.3174603175,B
